Code,Definition
O23.21,"Infections of urethra in pregnancy, first trimester"
O23.22,"Infections of urethra in pregnancy, second trimester"
O23.23,"Infections of urethra in pregnancy, third trimester"
O23.30,"Infections of other parts of urinary tract in pregnancy, unspecified trimester"
O23.31,"Infections of other parts of urinary tract in pregnancy, first trimester"
O23.32,"Infections of other parts of urinary tract in pregnancy, second trimester"
O23.33,"Infections of other parts of urinary tract in pregnancy, third trimester"
O23.40,"Unspecified infection of urinary tract in pregnancy, unspecified trimester"
O23.41,"Unspecified infection of urinary tract in pregnancy, first trimester"
O23.42,"Unspecified infection of urinary tract in pregnancy, second trimester"
O23.43,"Unspecified infection of urinary tract in pregnancy, third trimester"
O23.511,"Infections of cervix in pregnancy, first trimester"
O23.512,"Infections of cervix in pregnancy, second trimester"
O23.513,"Infections of cervix in pregnancy, third trimester"
O23.519,"Infections of cervix in pregnancy, unspecified trimester"
O23.521,"Salpingo-oophoritis in pregnancy, first trimester"
O23.522,"Salpingo-oophoritis in pregnancy, second trimester"
O23.523,"Salpingo-oophoritis in pregnancy, third trimester"
O23.529,"Salpingo-oophoritis in pregnancy, unspecified trimester"
O23.591,"Infection of other part of genital tract in pregnancy, first trimester"
O23.592,"Infection of other part of genital tract in pregnancy, second trimester"
O23.593,"Infection of other part of genital tract in pregnancy, third trimester"
O23.599,"Infection of other part of genital tract in pregnancy, unspecified trimester"
O23.90,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
O23.91,"Unspecified genitourinary tract infection in pregnancy, first trimester"
O23.92,"Unspecified genitourinary tract infection in pregnancy, second trimester"
O23.93,"Unspecified genitourinary tract infection in pregnancy, third trimester"
O24.011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
O24.012,"Pre-existing type 1 diabetes mellitus, in pregnancy, second trimester"
O24.013,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester"
O24.019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
O24.02,"Pre-existing type 1 diabetes mellitus, in childbirth"
O24.03,"Pre-existing type 1 diabetes mellitus, in the puerperium"
O24.111,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester"
O24.112,"Pre-existing type 2 diabetes mellitus, in pregnancy, second trimester"
O24.113,"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester"
O24.119,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester"
O24.12,"Pre-existing type 2 diabetes mellitus, in childbirth"
O24.13,"Pre-existing type 2 diabetes mellitus, in the puerperium"
O24.311,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester"
O24.312,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester"
O24.313,"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester"
O24.319,"Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O24.32,Unspecified pre-existing diabetes mellitus in childbirth
O24.33,Unspecified pre-existing diabetes mellitus in the puerperium
O24.410,"Gestational diabetes mellitus in pregnancy, diet controlled"
O24.414,"Gestational diabetes mellitus in pregnancy, insulin controlled"
O24.415,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs"
O24.419,"Gestational diabetes mellitus in pregnancy, unspecified control"
O24.420,"Gestational diabetes mellitus in childbirth, diet controlled"
O24.424,"Gestational diabetes mellitus in childbirth, insulin controlled"
O24.425,"Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs"
O24.429,"Gestational diabetes mellitus in childbirth, unspecified control"
O24.430,"Gestational diabetes mellitus in the puerperium, diet controlled"
O24.434,"Gestational diabetes mellitus in the puerperium, insulin controlled"
O24.435,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs"
O24.439,"Gestational diabetes mellitus in the puerperium, unspecified control"
O24.811,"Other pre-existing diabetes mellitus in pregnancy, first trimester"
O24.812,"Other pre-existing diabetes mellitus in pregnancy, second trimester"
O24.813,"Other pre-existing diabetes mellitus in pregnancy, third trimester"
O24.819,"Other pre-existing diabetes mellitus in pregnancy, unspecified trimester"
O24.82,Other pre-existing diabetes mellitus in childbirth
O24.83,Other pre-existing diabetes mellitus in the puerperium
O24.911,"Unspecified diabetes mellitus in pregnancy, first trimester"
O24.912,"Unspecified diabetes mellitus in pregnancy, second trimester"
O24.913,"Unspecified diabetes mellitus in pregnancy, third trimester"
O24.919,"Unspecified diabetes mellitus in pregnancy, unspecified trimester"
O24.92,Unspecified diabetes mellitus in childbirth
O24.93,Unspecified diabetes mellitus in the puerperium
O25.10,"Malnutrition in pregnancy, unspecified trimester"
O25.11,"Malnutrition in pregnancy, first trimester"
O25.12,"Malnutrition in pregnancy, second trimester"
O25.13,"Malnutrition in pregnancy, third trimester"
O25.2,Malnutrition in childbirth
O25.3,Malnutrition in the puerperium
O26.00,"Excessive weight gain in pregnancy, unspecified trimester"
O26.01,"Excessive weight gain in pregnancy, first trimester"
O26.02,"Excessive weight gain in pregnancy, second trimester"
O26.03,"Excessive weight gain in pregnancy, third trimester"
O26.10,"Low weight gain in pregnancy, unspecified trimester"
O26.11,"Low weight gain in pregnancy, first trimester"
O26.12,"Low weight gain in pregnancy, second trimester"
O26.13,"Low weight gain in pregnancy, third trimester"
O26.20,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester"
O26.21,"Pregnancy care for patient with recurrent pregnancy loss, first trimester"
O26.22,"Pregnancy care for patient with recurrent pregnancy loss, second trimester"
O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester"
O26.30,"Retained intrauterine contraceptive device in pregnancy, unspecified trimester"
O26.31,"Retained intrauterine contraceptive device in pregnancy, first trimester"
O26.32,"Retained intrauterine contraceptive device in pregnancy, second trimester"
O26.33,"Retained intrauterine contraceptive device in pregnancy, third trimester"
O26.40,"Herpes gestationis, unspecified trimester"
O26.41,"Herpes gestationis, first trimester"
O26.42,"Herpes gestationis, second trimester"
O26.43,"Herpes gestationis, third trimester"
O26.50,"Maternal hypotension syndrome, unspecified trimester"
O26.51,"Maternal hypotension syndrome, first trimester"
O26.52,"Maternal hypotension syndrome, second trimester"
O26.53,"Maternal hypotension syndrome, third trimester"
O26.611,"Liver and biliary tract disorders in pregnancy, first trimester"
O26.612,"Liver and biliary tract disorders in pregnancy, second trimester"
O26.613,"Liver and biliary tract disorders in pregnancy, third trimester"
O26.619,"Liver and biliary tract disorders in pregnancy, unspecified trimester"
O26.62,Liver and biliary tract disorders in childbirth
O26.63,Liver and biliary tract disorders in the puerperium
O26.711,"Subluxation of symphysis (pubis) in pregnancy, first trimester"
O26.712,"Subluxation of symphysis (pubis) in pregnancy, second trimester"
O26.713,"Subluxation of symphysis (pubis) in pregnancy, third trimester"
O26.719,"Subluxation of symphysis (pubis) in pregnancy, unspecified trimester"
O26.72,Subluxation of symphysis (pubis) in childbirth
O26.73,Subluxation of symphysis (pubis) in the puerperium
O26.811,"Pregnancy related exhaustion and fatigue, first trimester"
O26.812,"Pregnancy related exhaustion and fatigue, second trimester"
O26.813,"Pregnancy related exhaustion and fatigue, third trimester"
O26.819,"Pregnancy related exhaustion and fatigue, unspecified trimester"
O26.821,"Pregnancy related peripheral neuritis, first trimester"
O26.822,"Pregnancy related peripheral neuritis, second trimester"
O26.823,"Pregnancy related peripheral neuritis, third trimester"
O26.829,"Pregnancy related peripheral neuritis, unspecified trimester"
O26.831,"Pregnancy related renal disease, first trimester"
O26.832,"Pregnancy related renal disease, second trimester"
O26.833,"Pregnancy related renal disease, third trimester"
O26.839,"Pregnancy related renal disease, unspecified trimester"
O26.841,"Uterine size-date discrepancy, first trimester"
O26.842,"Uterine size-date discrepancy, second trimester"
O26.843,"Uterine size-date discrepancy, third trimester"
O26.849,"Uterine size-date discrepancy, unspecified trimester"
O26.851,"Spotting complicating pregnancy, first trimester"
O26.852,"Spotting complicating pregnancy, second trimester"
O26.853,"Spotting complicating pregnancy, third trimester"
O26.859,"Spotting complicating pregnancy, unspecified trimester"
O26.86,Pruritic urticarial papules and plaques of pregnancy (PUPPP)
O26.872,"Cervical shortening, second trimester"
O26.873,"Cervical shortening, third trimester"
O26.879,"Cervical shortening, unspecified trimester"
O26.891,"Other specified pregnancy related conditions, first trimester"
O26.892,"Other specified pregnancy related conditions, second trimester"
O26.893,"Other specified pregnancy related conditions, third trimester"
O26.899,"Other specified pregnancy related conditions, unspecified trimester"
O26.90,"Pregnancy related conditions, unspecified, unspecified trimester"
O26.91,"Pregnancy related conditions, unspecified, first trimester"
O26.92,"Pregnancy related conditions, unspecified, second trimester"
O26.93,"Pregnancy related conditions, unspecified, third trimester"
O28.0,Abnormal hematological finding on antenatal screening of mother
O28.1,Abnormal biochemical finding on antenatal screening of mother
O28.2,Abnormal cytological finding on antenatal screening of mother
O28.3,Abnormal ultrasonic finding on antenatal screening of mother
O28.4,Abnormal radiological finding on antenatal screening of mother
O28.5,Abnormal chromosomal and genetic finding on antenatal screening of mother
O28.8,Other abnormal findings on antenatal screening of mother
O28.9,Unspecified abnormal findings on antenatal screening of mother
O29.011,"Aspiration pneumonitis due to anesthesia during pregnancy, first trimester"
O29.012,"Aspiration pneumonitis due to anesthesia during pregnancy, second trimester"
O29.013,"Aspiration pneumonitis due to anesthesia during pregnancy, third trimester"
O29.019,"Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester"
O29.021,"Pressure collapse of lung due to anesthesia during pregnancy, first trimester"
O29.022,"Pressure collapse of lung due to anesthesia during pregnancy, second trimester"
O29.023,"Pressure collapse of lung due to anesthesia during pregnancy, third trimester"
O29.029,"Pressure collapse of lung due to anesthesia during pregnancy, unspecified trimester"
O29.091,"Other pulmonary complications of anesthesia during pregnancy, first trimester"
O29.092,"Other pulmonary complications of anesthesia during pregnancy, second trimester"
O29.093,"Other pulmonary complications of anesthesia during pregnancy, third trimester"
O29.099,"Other pulmonary complications of anesthesia during pregnancy, unspecified trimester"
O29.111,"Cardiac arrest due to anesthesia during pregnancy, first trimester"
O29.112,"Cardiac arrest due to anesthesia during pregnancy, second trimester"
O29.113,"Cardiac arrest due to anesthesia during pregnancy, third trimester"
O29.119,"Cardiac arrest due to anesthesia during pregnancy, unspecified trimester"
O29.121,"Cardiac failure due to anesthesia during pregnancy, first trimester"
O29.122,"Cardiac failure due to anesthesia during pregnancy, second trimester"
O29.123,"Cardiac failure due to anesthesia during pregnancy, third trimester"
O29.129,"Cardiac failure due to anesthesia during pregnancy, unspecified trimester"
O29.191,"Other cardiac complications of anesthesia during pregnancy, first trimester"
O29.192,"Other cardiac complications of anesthesia during pregnancy, second trimester"
O29.193,"Other cardiac complications of anesthesia during pregnancy, third trimester"
O29.199,"Other cardiac complications of anesthesia during pregnancy, unspecified trimester"
O29.211,"Cerebral anoxia due to anesthesia during pregnancy, first trimester"
O29.212,"Cerebral anoxia due to anesthesia during pregnancy, second trimester"
O29.213,"Cerebral anoxia due to anesthesia during pregnancy, third trimester"
O29.219,"Cerebral anoxia due to anesthesia during pregnancy, unspecified trimester"
O29.291,"Other central nervous system complications of anesthesia during pregnancy, first trimester"
O29.292,"Other central nervous system complications of anesthesia during pregnancy, second trimester"
O29.293,"Other central nervous system complications of anesthesia during pregnancy, third trimester"
O29.299,"Other central nervous system complications of anesthesia during pregnancy, unspecified trimester"
O29.3X1,"Toxic reaction to local anesthesia during pregnancy, first trimester"
O29.3X2,"Toxic reaction to local anesthesia during pregnancy, second trimester"
O29.3X3,"Toxic reaction to local anesthesia during pregnancy, third trimester"
O29.3X9,"Toxic reaction to local anesthesia during pregnancy, unspecified trimester"
O29.40,"Spinal and epidural anesthesia induced headache during pregnancy, unspecified trimester"
O29.41,"Spinal and epidural anesthesia induced headache during pregnancy, first trimester"
O29.42,"Spinal and epidural anesthesia induced headache during pregnancy, second trimester"
O29.43,"Spinal and epidural anesthesia induced headache during pregnancy, third trimester"
O29.5X1,"Other complications of spinal and epidural anesthesia during pregnancy, first trimester"
O29.5X2,"Other complications of spinal and epidural anesthesia during pregnancy, second trimester"
O29.5X3,"Other complications of spinal and epidural anesthesia during pregnancy, third trimester"
O29.5X9,"Other complications of spinal and epidural anesthesia during pregnancy, unspecified trimester"
O29.60,"Failed or difficult intubation for anesthesia during pregnancy, unspecified trimester"
O29.61,"Failed or difficult intubation for anesthesia during pregnancy, first trimester"
O29.62,"Failed or difficult intubation for anesthesia during pregnancy, second trimester"
O29.63,"Failed or difficult intubation for anesthesia during pregnancy, third trimester"
O29.8X1,"Other complications of anesthesia during pregnancy, first trimester"
O29.8X2,"Other complications of anesthesia during pregnancy, second trimester"
O29.8X3,"Other complications of anesthesia during pregnancy, third trimester"
O29.8X9,"Other complications of anesthesia during pregnancy, unspecified trimester"
O29.90,"Unspecified complication of anesthesia during pregnancy, unspecified trimester"
O29.91,"Unspecified complication of anesthesia during pregnancy, first trimester"
O29.92,"Unspecified complication of anesthesia during pregnancy, second trimester"
O29.93,"Unspecified complication of anesthesia during pregnancy, third trimester"
O30.001,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30.002,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30.003,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30.009,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30.011,"Twin pregnancy, monochorionic/monoamniotic, first trimester"
O30.012,"Twin pregnancy, monochorionic/monoamniotic, second trimester"
O30.013,"Twin pregnancy, monochorionic/monoamniotic, third trimester"
O30.019,"Twin pregnancy, monochorionic/monoamniotic, unspecified trimester"
O30.021,"Conjoined twin pregnancy, first trimester"
O30.022,"Conjoined twin pregnancy, second trimester"
O30.023,"Conjoined twin pregnancy, third trimester"
O30.029,"Conjoined twin pregnancy, unspecified trimester"
O30.031,"Twin pregnancy, monochorionic/diamniotic, first trimester"
O30.032,"Twin pregnancy, monochorionic/diamniotic, second trimester"
O30.033,"Twin pregnancy, monochorionic/diamniotic, third trimester"
O30.039,"Twin pregnancy, monochorionic/diamniotic, unspecified trimester"
O30.041,"Twin pregnancy, dichorionic/diamniotic, first trimester"
O30.042,"Twin pregnancy, dichorionic/diamniotic, second trimester"
O30.043,"Twin pregnancy, dichorionic/diamniotic, third trimester"
O30.049,"Twin pregnancy, dichorionic/diamniotic, unspecified trimester"
O30.091,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30.092,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30.093,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30.099,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30.101,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30.102,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30.103,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30.109,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30.111,"Triplet pregnancy with two or more monochorionic fetuses, first trimester"
O30.112,"Triplet pregnancy with two or more monochorionic fetuses, second trimester"
O30.113,"Triplet pregnancy with two or more monochorionic fetuses, third trimester"
O30.119,"Triplet pregnancy with two or more monochorionic fetuses, unspecified trimester"
O30.121,"Triplet pregnancy with two or more monoamniotic fetuses, first trimester"
O30.122,"Triplet pregnancy with two or more monoamniotic fetuses, second trimester"
O30.123,"Triplet pregnancy with two or more monoamniotic fetuses, third trimester"
O30.129,"Triplet pregnancy with two or more monoamniotic fetuses, unspecified trimester"
O30.131,"Triplet pregnancy, trichorionic/triamniotic, first trimester"
O30.132,"Triplet pregnancy, trichorionic/triamniotic, second trimester"
O30.133,"Triplet pregnancy, trichorionic/triamniotic, third trimester"
O30.139,"Triplet pregnancy, trichorionic/triamniotic, unspecified trimester"
O30.191,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30.192,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30.193,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30.199,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30.201,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30.202,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30.203,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30.209,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30.211,"Quadruplet pregnancy with two or more monochorionic fetuses, first trimester"
O30.212,"Quadruplet pregnancy with two or more monochorionic fetuses, second trimester"
O30.213,"Quadruplet pregnancy with two or more monochorionic fetuses, third trimester"
O30.219,"Quadruplet pregnancy with two or more monochorionic fetuses, unspecified trimester"
O30.221,"Quadruplet pregnancy with two or more monoamniotic fetuses, first trimester"
O30.222,"Quadruplet pregnancy with two or more monoamniotic fetuses, second trimester"
O30.223,"Quadruplet pregnancy with two or more monoamniotic fetuses, third trimester"
O30.229,"Quadruplet pregnancy with two or more monoamniotic fetuses, unspecified trimester"
O30.231,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, first trimester"
O30.232,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, second trimester"
O30.233,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, third trimester"
O30.239,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, unspecified trimester"
O30.291,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30.292,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30.293,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30.299,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30.801,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O30.802,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
O30.803,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
O30.809,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O30.811,"Other specified multiple gestation with two or more monochorionic fetuses, first trimester"
O30.812,"Other specified multiple gestation with two or more monochorionic fetuses, second trimester"
O30.813,"Other specified multiple gestation with two or more monochorionic fetuses, third trimester"
O30.819,"Other specified multiple gestation with two or more monochorionic fetuses, unspecified trimester"
O30.821,"Other specified multiple gestation with two or more monoamniotic fetuses, first trimester"
O30.822,"Other specified multiple gestation with two or more monoamniotic fetuses, second trimester"
O30.823,"Other specified multiple gestation with two or more monoamniotic fetuses, third trimester"
O30.829,"Other specified multiple gestation with two or more monoamniotic fetuses, unspecified trimester"
O30.831,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, first trimester"
O30.832,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, second trimester"
O30.833,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, third trimester"
O30.839,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, unspecified trimester"
O30.891,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, first trimester"
O30.892,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, second trimester"
O30.893,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, third trimester"
O30.899,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
O30.90,"Multiple gestation, unspecified, unspecified trimester"
O30.91,"Multiple gestation, unspecified, first trimester"
O30.92,"Multiple gestation, unspecified, second trimester"
O30.93,"Multiple gestation, unspecified, third trimester"
O31.00X0,"Papyraceous fetus, unspecified trimester, not applicable or unspecified"
O31.00X1,"Papyraceous fetus, unspecified trimester, fetus 1"
O31.00X2,"Papyraceous fetus, unspecified trimester, fetus 2"
O31.00X3,"Papyraceous fetus, unspecified trimester, fetus 3"
O31.00X4,"Papyraceous fetus, unspecified trimester, fetus 4"
O31.00X5,"Papyraceous fetus, unspecified trimester, fetus 5"
O31.00X9,"Papyraceous fetus, unspecified trimester, other fetus"
O31.01X0,"Papyraceous fetus, first trimester, not applicable or unspecified"
O31.01X1,"Papyraceous fetus, first trimester, fetus 1"
O31.01X2,"Papyraceous fetus, first trimester, fetus 2"
O31.01X3,"Papyraceous fetus, first trimester, fetus 3"
O31.01X4,"Papyraceous fetus, first trimester, fetus 4"
O31.01X5,"Papyraceous fetus, first trimester, fetus 5"
O31.01X9,"Papyraceous fetus, first trimester, other fetus"
O31.02X0,"Papyraceous fetus, second trimester, not applicable or unspecified"
O31.02X1,"Papyraceous fetus, second trimester, fetus 1"
O31.02X2,"Papyraceous fetus, second trimester, fetus 2"
O31.02X3,"Papyraceous fetus, second trimester, fetus 3"
O31.02X4,"Papyraceous fetus, second trimester, fetus 4"
O31.02X5,"Papyraceous fetus, second trimester, fetus 5"
O31.02X9,"Papyraceous fetus, second trimester, other fetus"
O31.03X0,"Papyraceous fetus, third trimester, not applicable or unspecified"
O31.03X1,"Papyraceous fetus, third trimester, fetus 1"
O31.03X2,"Papyraceous fetus, third trimester, fetus 2"
O31.03X3,"Papyraceous fetus, third trimester, fetus 3"
O31.03X4,"Papyraceous fetus, third trimester, fetus 4"
O31.03X5,"Papyraceous fetus, third trimester, fetus 5"
O31.03X9,"Papyraceous fetus, third trimester, other fetus"
O31.10X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, not applicable or unspecified"
O31.10X1,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 1"
O31.10X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 2"
O31.10X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 3"
O31.10X4,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 4"
O31.10X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 5"
O31.10X9,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, other fetus"
O31.11X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified"
O31.11X1,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 1"
O31.11X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 2"
O31.11X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 3"
O31.11X4,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 4"
O31.11X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 5"
O31.11X9,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, other fetus"
O31.12X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, not applicable or unspecified"
O31.12X1,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 1"
O31.12X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 2"
O31.12X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 3"
O31.12X4,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 4"
O31.12X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, fetus 5"
O31.12X9,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester, other fetus"
O31.13X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, not applicable or unspecified"
O31.13X1,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 1"
O31.13X2,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 2"
O31.13X3,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 3"
O31.13X4,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 4"
O31.13X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 5"
O31.13X9,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, other fetus"
O31.20X0,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"
O31.20X1,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 1"
O31.20X2,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 2"
O31.20X3,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 3"
O31.20X4,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 4"
O31.20X5,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, fetus 5"
O31.20X9,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, other fetus"
O31.21X0,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified"
O31.21X1,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 1"
O31.21X2,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 2"
O31.21X3,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 3"
O31.21X4,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 4"
O31.21X5,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 5"
O31.21X9,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester, other fetus"
O31.22X0,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, not applicable or unspecified"
O31.22X1,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 1"
O31.22X2,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 2"
O31.22X3,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 3"
O31.22X4,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 4"
O31.22X5,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 5"
O31.22X9,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester, other fetus"
O31.23X0,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, not applicable or unspecified"
O31.23X1,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 1"
O31.23X2,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 2"
O31.23X3,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 3"
O31.23X4,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 4"
O31.23X5,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 5"
O31.23X9,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, other fetus"
O31.30X0,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified"
O31.30X1,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 1"
O31.30X2,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 2"
O31.30X3,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 3"
O31.30X4,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 4"
O31.30X5,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 5"
O31.30X9,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, other fetus"
O31.31X0,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified"
O31.31X1,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 1"
O31.31X2,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 2"
O31.31X3,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 3"
